p0,S,F,observations,posterior_mean_A,demand_probability,best_response_product,uses_product2,q_gap_product2_minus_product1,continuation_gap_success_minus_failure,value
0.1,0,0,0,0.5,0.9,1,0,-0.15610835902600328,1.1681358972999831,17.933532231279365
0.1,0,1,1,0.3333333333333333,0.81,1,0,-0.06473637114105912,1.4085884969972042,17.573429243055685
0.1,1,0,1,0.6666666666666666,0.99,1,0,-0.4837830667179368,0.3058340349527846,18.741565140355668
0.1,0,2,2,0.25,0.729,2,1,0.0052445911136054235,1.5927489239831694,17.22229651516809
0.1,1,1,2,0.5,0.972,1,0,-0.4433913243473242,0.41212809382282245,18.630885012165294
0.1,2,0,2,0.75,0.999,1,0,-0.5709050140220882,0.07656575257344755,18.93671904711808
0.1,0,3,3,0.2,0.6561,2,1,0.07810935972185362,1.784498315057494,16.90271110747891
0.1,1,2,3,0.4,0.9477,1,0,-0.39773618390373144,0.5322732002533357,18.49546003146208
0.1,2,1,3,0.6,0.9963,1,0,-0.5589422381160603,0.1080467417998463,18.907588125284903
0.1,3,0,3,0.8,0.9999,1,0,-0.5926503706636481,0.01934112983250813,18.98415387785835
0.1,0,4,4,0.16666666666666666,0.59049,2,1,0.15366959594381413,1.9833410419574022,16.55183214641857
0.1,1,3,4,0.3333333333333333,0.91854,1,0,-0.3476343705224565,0.6641200775724769,18.336330461476063
0.1,2,2,4,0.5,0.99144,1,0,-0.543980131057463,0.14742070774351745,18.8686036617294
0.1,3,1,4,0.6666666666666666,0.99954,1,0,-0.5893649933042937,0.027986859725540825,18.976650403529245
0.1,4,0,4,0.8333333333333334,0.99999,1,0,-0.5981347677485367,0.004908505924898776,18.995991533361753
0.1,0,5,5,0.14285714285714285,0.531441,2,1,0.23156810677500417,2.188337123092106,16.171203896301126
0.1,1,4,5,0.2857142857142857,0.8857349999999999,1,0,-0.29391469328434994,0.805487649251706,18.154544938258528
0.1,2,3,5,0.42857142857142855,0.98415,1,0,-0.5259619334258439,0.19483701730040792,18.818665015831005
0.1,3,2,5,0.5714285714285714,0.99873,1,0,-0.5849591487664476,0.03958118745671513,18.966085723574523
0.1,4,1,5,0.7142857142857143,0.999945,1,0,-0.5972664741281832,0.007193489136344766,18.994072583300063
0.1,5,0,5,0.8571428571428571,0.999999,1,0,-0.5995254402729024,0.0012488413870919146,18.998981089224962
0.1,0,6,6,0.125,0.4782969,2,1,0.31124708228422904,2.398018637590072,15.763054902517192
0.1,1,5,6,0.25,0.8503056,1,0,-0.23754975379859644,0.9538164373721152,17.951392025609298
0.1,2,4,6,0.375,0.9743085,1,0,-0.5048904615453687,0.25028825909112484,18.756879674861004
0.1,3,3,6,0.5,0.997272,1,0,-0.5792615611527197,0.05457483907178329,18.951716692161412
0.1,4,2,6,0.625,0.9998235,1,0,-0.5960494094197522,0.010396291000645874,18.991297879618127
0.1,5,1,6,0.75,0.9999936,1,0,-0.5993003071881837,0.0018412968731986723,18.998491368754472
0.1,6,0,6,0.875,0.9999999,1,0,-0.5998790217021082,0.0003183639418153916,18.999740210141564
