p0,initial_demand_probability,initial_best_response_product,initial_uses_product2,initial_q_gap_product2_minus_product1,initial_value,share_states_product2,demand_weighted_share_states_product2,mean_A_market_share_sim,mean_product2_rate_when_A_chosen_sim,mean_A_success_rate_when_chosen_sim,mean_profit_per_period_sim,mean_discounted_profit_sim,mean_final_posterior_mean_sim,value_iteration_iterations,value_iteration_residual,p1,p2,c1,c2,revenue,gamma,max_observations
0.1,0.9,2,1.0,0.14097735308839532,47.1166537162212,0.1809357406328868,0.09643551908282053,0.999725,0.0031610291810268264,0.35164235783642367,0.9495807500000167,47.10482006265887,0.35193856095765497,1025,9.845493309512676e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.15,0.85,2,1.0,0.2562778358843403,46.878835584087106,0.23005241700640652,0.12611541926678713,0.9994700000000001,0.004968066046392481,0.3539599096710648,0.9492482500000166,46.81183986034239,0.3542515617138029,1025,9.845564363786252e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.2,0.8,2,1.0,0.4045747924974421,46.56829858048583,0.267909143855562,0.15730113708284932,0.99932,0.00790599320695622,0.3528241019996779,0.9489590000000167,46.59546905014307,0.3531180676729903,1025,9.845635418059828e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.25,0.75,2,1.0,0.5941813571341186,46.15840415057453,0.2974179770918268,0.18930740967525803,0.9987925,0.01282179915789431,0.3559962054133611,0.9482126250000165,46.13236500194446,0.35628398784495063,1025,9.845564363786252e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.3,0.7,2,1.0,0.8384353006911027,45.632258283072424,0.3211026985051446,0.22230577970695137,0.9916125,0.020563930351538008,0.35870429595237424,0.9410137500000162,45.45914901544025,0.3589890333434576,1025,9.845493309512676e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.35,0.65,2,1.0,1.155186544184616,44.98037217168939,0.33857503397398564,0.25503005688275665,0.8602074999999999,0.03579563695864463,0.36385165320600804,0.8157035000000102,44.852592996004425,0.3641803884159172,1025,9.845564363786252e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.4,0.6,2,1.0,1.5675319202812616,44.17635062980109,0.3519704911667637,0.28998730339299833,0.5373825,0.08032012974834803,0.3806356849480156,0.5084619999999983,43.624118843092745,0.38110594968942346,1025,9.845493309512676e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.45,0.55,2,1.0,2.103396695181793,43.16538135549551,0.35895942535430014,0.3242493981344562,0.3716175,0.14690841610228417,0.411508685284773,0.3504003749999977,42.37146879242724,0.4120053949536059,1025,9.845493309512676e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.5,0.5,2,1.0,2.7917527935759097,41.85146187421944,0.36245389244806836,0.3618760729983268,0.28808500000000004,0.22493179956778925,0.44717225090804225,0.2705131249999985,41.026355277648896,0.44755151474059685,1025,9.845493309512676e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.55,0.44999999999999996,2,1.0,3.651974368782504,40.08170559705976,0.3642011259949524,0.4057142267745471,0.24280500000000005,0.3105099347320881,0.4860262627291161,0.22693574999999902,38.499833256015236,0.4861461915071716,1025,9.8454222552391e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.6,0.4,2,1.0,4.665582220297779,37.61669441764373,0.36206561832653855,0.4580831618115164,0.2093075,0.4085004007434448,0.5270098534772533,0.1946077499999994,35.728166856483284,0.526756417270786,1025,9.8454222552391e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.65,0.35,2,1.0,5.714824554431214,34.09760624238278,0.3595418365365948,0.5243204112758185,0.189105,0.49712201870169437,0.5714561768180854,0.1749897499999996,32.66610540865472,0.5707070840626581,1025,9.8454222552391e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.7,0.30000000000000004,2,1.0,6.484741950379881,29.0930625586006,0.35430013589594256,0.6145846853205269,0.1663825,0.5981550015218748,0.61584339211392,0.1531366249999999,27.287963262561302,0.6144592722332947,1025,9.845351200965524e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.75,0.25,2,1.0,6.483451891930315,22.54567128548763,0.34498155697922733,0.7293330508706987,0.14066,0.7111121792158649,0.6559722967422519,0.1287043750000001,20.659222188169025,0.654496522783912,1025,9.845351200965524e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.8,0.19999999999999996,2,1.0,5.523540375003879,15.546302943937585,0.3211026985051446,0.842267946825439,0.11384500000000002,0.834392523317484,0.7015721261167133,0.10352700000000013,15.299122818736146,0.698654640778802,1025,9.845351200965524e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.85,0.15000000000000002,2,1.0,4.12033987621643,9.772689228010119,0.2780042710153368,0.9269558393936673,0.0780575,0.93888852727901,0.7238929453893829,0.07060375000000005,10.021517405912427,0.719009316219032,1025,9.845209092418372e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
0.9,0.09999999999999998,2,1.0,2.788766431326562,5.726557579270105,0.21782178217821782,0.9721270631877134,0.040317500000000006,0.9878423754903097,0.712324094999004,0.03632274999999999,5.44858983680667,0.7069389580036876,1025,9.840377401815203e-10,0.35,0.8,0.05,0.1,1.0,0.98,100
