p0,iteration,residual
0.1,1,0.95
0.1,25,0.5849913196836276
0.1,50,0.3530216286558847
0.1,75,0.21303610174294363
0.1,100,0.1285597735714603
0.1,125,0.07758128901874528
0.1,150,0.04681757161360167
0.1,175,0.028252753202714587
0.1,200,0.017049540077003655
0.1,225,0.010288796095423436
0.1,250,0.0062089255554766964
0.1,275,0.003746867582570701
0.1,300,0.0022611024332377383
0.1,325,0.001364495568893176
0.1,350,0.0008234249497718338
0.1,375,0.0004969079148224864
0.1,400,0.0002998664005531282
0.1,425,0.00018095879638480028
0.1,450,0.00010920225117416749
0.1,475,6.589970700332515e-05
0.1,500,3.9768148894836486e-05
0.1,525,2.3998675231950983e-05
0.1,550,1.4482354075084913e-05
0.1,575,8.73958990155188e-06
0.1,600,5.2740342724177935e-06
0.1,625,3.1826936748302614e-06
0.1,650,1.920643391883914e-06
0.1,675,1.1590405577521778e-06
0.1,700,6.99440114715344e-07
0.1,725,4.2208744588378977e-07
0.1,750,2.5471490516792983e-07
0.1,775,1.5371146844245231e-07
0.1,800,9.275946410980396e-08
0.1,825,5.59770754193778e-08
0.1,850,3.3780203523292585e-08
0.1,875,2.0385179766435613e-08
0.1,900,1.2301747176479694e-08
0.1,925,7.423679448947951e-09
0.1,950,4.479943527258001e-09
0.1,975,2.703494317302102e-09
0.1,1000,1.631477175578766e-09
0.1,1025,9.845493309512676e-10
0.15,1,0.95
0.15,25,0.5849913196836312
0.15,50,0.35302162865588116
0.15,75,0.21303610174294363
0.15,100,0.1285597735714532
0.15,125,0.07758128901874528
0.15,150,0.04681757161360167
0.15,175,0.028252753202721692
0.15,200,0.01704954007699655
0.15,225,0.010288796095423436
0.15,250,0.006208925555483802
0.15,275,0.0037468675825635955
0.15,300,0.0022611024332448437
0.15,325,0.0013644955688860705
0.15,350,0.0008234249497718338
0.15,375,0.0004969079148224864
0.15,400,0.0002998664005531282
0.15,425,0.00018095879638480028
0.15,450,0.00010920225118127291
0.15,475,6.589970700332515e-05
0.15,500,3.9768148894836486e-05
0.15,525,2.399867523905641e-05
0.15,550,1.448235408219034e-05
0.15,575,8.73958990155188e-06
0.15,600,5.274034279523221e-06
0.15,625,3.182693681935689e-06
0.15,650,1.920643391883914e-06
0.15,675,1.1590405577521778e-06
0.15,700,6.994401005044892e-07
0.15,725,4.2208744588378977e-07
