p0,t,A_market_share,product2_rate_when_A_chosen,avg_profit_per_period
0.1,1,0.875,0.0,0.8312499999999946
0.1,2,0.8925,0.0,0.8478749999999944
0.1,3,0.8675,0.2276657060518732,0.7056249999999961
0.1,4,0.91,0.19505494505494506,0.7579999999999957
0.1,5,0.925,0.0891891891891892,0.829249999999995
0.1,6,0.95,0.039473684210526314,0.8799999999999943
0.1,7,0.9675,0.0103359173126615,0.9131249999999936
0.1,8,0.9575,0.0026109660574412533,0.9081249999999936
0.1,9,0.9575,0.0,0.9096249999999937
0.1,10,0.9675,0.002583979328165375,0.9176249999999935
0.1,11,0.9475,0.0,0.9001249999999937
0.1,12,0.9725,0.005141388174807198,0.9208749999999936
0.1,13,0.96,0.005208333333333333,0.9089999999999937
0.1,14,0.9775,0.0076726342710997444,0.9241249999999935
0.1,15,0.975,0.005128205128205128,0.9232499999999935
0.1,16,0.9775,0.005115089514066497,0.9256249999999935
0.1,17,0.9725,0.005141388174807198,0.9208749999999936
0.1,18,0.9775,0.005115089514066497,0.9256249999999935
0.1,19,0.98,0.002551020408163265,0.9294999999999934
0.1,20,0.9775,0.0,0.9286249999999935
0.1,21,0.9925,0.0,0.9428749999999932
0.1,22,0.98,0.0,0.9309999999999934
0.1,23,0.99,0.0,0.9404999999999933
0.1,24,0.985,0.0025380710659898475,0.9342499999999935
0.1,25,0.9925,0.0,0.9428749999999932
0.1,26,0.985,0.0,0.9357499999999933
0.1,27,0.9925,0.0,0.9428749999999932
0.1,28,0.995,0.0,0.9452499999999933
0.1,29,0.9975,0.0,0.9476249999999932
0.1,30,0.99,0.0,0.9404999999999933
0.1,31,0.9975,0.0,0.9476249999999932
0.1,32,0.995,0.0,0.9452499999999933
0.1,33,1.0,0.0,0.9499999999999932
0.1,34,0.9975,0.0,0.9476249999999932
0.1,35,0.9975,0.0,0.9476249999999932
0.1,36,1.0,0.0,0.9499999999999932
0.1,37,0.995,0.0,0.9452499999999933
0.1,38,0.9975,0.0,0.9476249999999932
0.1,39,0.9975,0.0,0.9476249999999932
0.1,40,0.9975,0.0,0.9476249999999932
0.1,41,0.9975,0.0,0.9476249999999932
0.1,42,1.0,0.0,0.9499999999999932
0.1,43,1.0,0.0,0.9499999999999932
0.1,44,0.9975,0.0,0.9476249999999932
0.1,45,0.995,0.0,0.9452499999999933
0.1,46,1.0,0.0,0.9499999999999932
0.1,47,1.0,0.0,0.9499999999999932
0.1,48,0.9975,0.0,0.9476249999999932
0.1,49,1.0,0.0,0.9499999999999932
0.1,50,1.0,0.0,0.9499999999999932
0.1,51,1.0,0.0,0.9499999999999932
0.1,52,1.0,0.0,0.9499999999999932
0.1,53,1.0,0.0,0.9499999999999932
0.1,54,1.0,0.0,0.9499999999999932
0.1,55,1.0,0.0,0.9499999999999932
0.1,56,1.0,0.0,0.9499999999999932
0.1,57,1.0,0.0,0.9499999999999932
0.1,58,1.0,0.0,0.9499999999999932
0.1,59,1.0,0.0,0.9499999999999932
0.1,60,1.0,0.0,0.9499999999999932
0.1,61,1.0,0.0,0.9499999999999932
0.1,62,1.0,0.0,0.9499999999999932
0.1,63,1.0,0.0,0.9499999999999932
0.1,64,1.0,0.0,0.9499999999999932
0.1,65,1.0,0.0,0.9499999999999932
0.1,66,1.0,0.0,0.9499999999999932
0.1,67,1.0,0.0,0.9499999999999932
0.1,68,1.0,0.0,0.9499999999999932
0.1,69,1.0,0.0,0.9499999999999932
0.1,70,1.0,0.0,0.9499999999999932
0.1,71,1.0,0.0,0.9499999999999932
0.1,72,1.0,0.0,0.9499999999999932
0.1,73,1.0,0.0,0.9499999999999932
0.1,74,1.0,0.0,0.9499999999999932
0.1,75,1.0,0.0,0.9499999999999932
0.1,76,1.0,0.0,0.9499999999999932
0.1,77,1.0,0.0,0.9499999999999932
0.1,78,1.0,0.0,0.9499999999999932
0.1,79,1.0,0.0,0.9499999999999932
0.1,80,1.0,0.0,0.9499999999999932
0.1,81,1.0,0.0,0.9499999999999932
0.1,82,1.0,0.0,0.9499999999999932
0.1,83,1.0,0.0,0.9499999999999932
0.1,84,1.0,0.0,0.9499999999999932
0.1,85,1.0,0.0,0.9499999999999932
0.1,86,1.0,0.0,0.9499999999999932
0.1,87,1.0,0.0,0.9499999999999932
0.1,88,1.0,0.0,0.9499999999999932
0.1,89,1.0,0.0,0.9499999999999932
0.1,90,1.0,0.0,0.9499999999999932
0.1,91,1.0,0.0,0.9499999999999932
0.1,92,1.0,0.0,0.9499999999999932
0.1,93,1.0,0.0,0.9499999999999932
0.1,94,1.0,0.0,0.9499999999999932
0.1,95,1.0,0.0,0.9499999999999932
0.1,96,1.0,0.0,0.9499999999999932
0.1,97,1.0,0.0,0.9499999999999932
0.1,98,1.0,0.0,0.9499999999999932
0.1,99,1.0,0.0,0.9499999999999932
0.1,100,1.0,0.0,0.9499999999999932
0.1,101,1.0,0.0,0.9499999999999932
0.1,102,1.0,0.0,0.9499999999999932
0.1,103,1.0,0.0,0.9499999999999932
0.1,104,1.0,0.0,0.9499999999999932
0.1,105,1.0,0.0,0.9499999999999932
0.1,106,1.0,0.0,0.9499999999999932
0.1,107,1.0,0.0,0.9499999999999932
0.1,108,1.0,0.0,0.9499999999999932
0.1,109,1.0,0.0,0.9499999999999932
0.1,110,1.0,0.0,0.9499999999999932
0.1,111,1.0,0.0,0.9499999999999932
0.1,112,1.0,0.0,0.9499999999999932
0.1,113,1.0,0.0,0.9499999999999932
0.1,114,1.0,0.0,0.9499999999999932
0.1,115,1.0,0.0,0.9499999999999932
0.1,116,1.0,0.0,0.9499999999999932
0.1,117,1.0,0.0,0.9499999999999932
0.1,118,1.0,0.0,0.9499999999999932
0.1,119,1.0,0.0,0.9499999999999932
0.1,120,1.0,0.0,0.9499999999999932
0.1,121,1.0,0.0,0.9499999999999932
0.1,122,1.0,0.0,0.9499999999999932
0.1,123,1.0,0.0,0.9499999999999932
0.1,124,1.0,0.0,0.9499999999999932
0.1,125,1.0,0.0,0.9499999999999932
0.1,126,1.0,0.0,0.9499999999999932
0.1,127,1.0,0.0,0.9499999999999932
0.1,128,1.0,0.0,0.9499999999999932
0.1,129,1.0,0.0,0.9499999999999932
0.1,130,1.0,0.0,0.9499999999999932
0.1,131,1.0,0.0,0.9499999999999932
0.1,132,1.0,0.0,0.9499999999999932
0.1,133,1.0,0.0,0.9499999999999932
0.1,134,1.0,0.0,0.9499999999999932
0.1,135,1.0,0.0,0.9499999999999932
0.1,136,1.0,0.0,0.9499999999999932
0.1,137,1.0,0.0,0.9499999999999932
0.1,138,1.0,0.0,0.9499999999999932
0.1,139,1.0,0.0,0.9499999999999932
0.1,140,1.0,0.0,0.9499999999999932
0.1,141,1.0,0.0,0.9499999999999932
0.1,142,1.0,0.0,0.9499999999999932
0.1,143,1.0,0.0,0.9499999999999932
0.1,144,1.0,0.0,0.9499999999999932
0.1,145,1.0,0.0,0.9499999999999932
0.1,146,1.0,0.0,0.9499999999999932
0.1,147,1.0,0.0,0.9499999999999932
0.1,148,1.0,0.0,0.9499999999999932
0.1,149,1.0,0.0,0.9499999999999932
0.1,150,1.0,0.0,0.9499999999999932
0.1,151,1.0,0.0,0.9499999999999932
0.1,152,1.0,0.0,0.9499999999999932
0.1,153,1.0,0.0,0.9499999999999932
0.1,154,1.0,0.0,0.9499999999999932
0.1,155,1.0,0.0,0.9499999999999932
0.1,156,1.0,0.0,0.9499999999999932
0.1,157,1.0,0.0,0.9499999999999932
0.1,158,1.0,0.0,0.9499999999999932
0.1,159,1.0,0.0,0.9499999999999932
0.1,160,1.0,0.0,0.9499999999999932
0.1,161,1.0,0.0,0.9499999999999932
0.1,162,1.0,0.0,0.9499999999999932
0.1,163,1.0,0.0,0.9499999999999932
0.1,164,1.0,0.0,0.9499999999999932
0.1,165,1.0,0.0,0.9499999999999932
0.1,166,1.0,0.0,0.9499999999999932
0.1,167,1.0,0.0,0.9499999999999932
0.1,168,1.0,0.0,0.9499999999999932
0.1,169,1.0,0.0,0.9499999999999932
0.1,170,1.0,0.0,0.9499999999999932
0.1,171,1.0,0.0,0.9499999999999932
0.1,172,1.0,0.0,0.9499999999999932
0.1,173,1.0,0.0,0.9499999999999932
0.1,174,1.0,0.0,0.9499999999999932
0.1,175,1.0,0.0,0.9499999999999932
0.1,176,1.0,0.0,0.9499999999999932
0.1,177,1.0,0.0,0.9499999999999932
0.1,178,1.0,0.0,0.9499999999999932
0.1,179,1.0,0.0,0.9499999999999932
0.1,180,1.0,0.0,0.9499999999999932
0.1,181,1.0,0.0,0.9499999999999932
0.1,182,1.0,0.0,0.9499999999999932
0.1,183,1.0,0.0,0.9499999999999932
0.1,184,1.0,0.0,0.9499999999999932
0.1,185,1.0,0.0,0.9499999999999932
0.1,186,1.0,0.0,0.9499999999999932
0.1,187,1.0,0.0,0.9499999999999932
0.1,188,1.0,0.0,0.9499999999999932
0.1,189,1.0,0.0,0.9499999999999932
0.1,190,1.0,0.0,0.9499999999999932
0.1,191,1.0,0.0,0.9499999999999932
0.1,192,1.0,0.0,0.9499999999999932
0.1,193,1.0,0.0,0.9499999999999932
0.1,194,1.0,0.0,0.9499999999999932
0.1,195,1.0,0.0,0.9499999999999932
0.1,196,1.0,0.0,0.9499999999999932
0.1,197,1.0,0.0,0.9499999999999932
0.1,198,1.0,0.0,0.9499999999999932
0.1,199,1.0,0.0,0.9499999999999932
0.1,200,1.0,0.0,0.9499999999999932
0.1,201,1.0,0.0,0.9499999999999932
0.1,202,1.0,0.0,0.9499999999999932
0.1,203,1.0,0.0,0.9499999999999932
0.1,204,1.0,0.0,0.9499999999999932
0.1,205,1.0,0.0,0.9499999999999932
0.1,206,1.0,0.0,0.9499999999999932
0.1,207,1.0,0.0,0.9499999999999932
0.1,208,1.0,0.0,0.9499999999999932
0.1,209,1.0,0.0,0.9499999999999932
0.1,210,1.0,0.0,0.9499999999999932
0.1,211,1.0,0.0,0.9499999999999932
0.1,212,1.0,0.0,0.9499999999999932
0.1,213,1.0,0.0,0.9499999999999932
0.1,214,1.0,0.0,0.9499999999999932
0.1,215,1.0,0.0,0.9499999999999932
0.1,216,1.0,0.0,0.9499999999999932
0.1,217,1.0,0.0,0.9499999999999932
0.1,218,1.0,0.0,0.9499999999999932
0.1,219,1.0,0.0,0.9499999999999932
0.1,220,1.0,0.0,0.9499999999999932
0.1,221,1.0,0.0,0.9499999999999932
0.1,222,1.0,0.0,0.9499999999999932
0.1,223,1.0,0.0,0.9499999999999932
0.1,224,1.0,0.0,0.9499999999999932
0.1,225,1.0,0.0,0.9499999999999932
0.1,226,1.0,0.0,0.9499999999999932
0.1,227,1.0,0.0,0.9499999999999932
0.1,228,1.0,0.0,0.9499999999999932
0.1,229,1.0,0.0,0.9499999999999932
0.1,230,1.0,0.0,0.9499999999999932
0.1,231,1.0,0.0,0.9499999999999932
0.1,232,1.0,0.0,0.9499999999999932
0.1,233,1.0,0.0,0.9499999999999932
0.1,234,1.0,0.0,0.9499999999999932
0.1,235,1.0,0.0,0.9499999999999932
0.1,236,1.0,0.0,0.9499999999999932
0.1,237,1.0,0.0,0.9499999999999932
0.1,238,1.0,0.0,0.9499999999999932
0.1,239,1.0,0.0,0.9499999999999932
0.1,240,1.0,0.0,0.9499999999999932
0.1,241,1.0,0.0,0.9499999999999932
0.1,242,1.0,0.0,0.9499999999999932
0.1,243,1.0,0.0,0.9499999999999932
0.1,244,1.0,0.0,0.9499999999999932
0.1,245,1.0,0.0,0.9499999999999932
0.1,246,1.0,0.0,0.9499999999999932
0.1,247,1.0,0.0,0.9499999999999932
0.1,248,1.0,0.0,0.9499999999999932
0.1,249,1.0,0.0,0.9499999999999932
0.1,250,1.0,0.0,0.9499999999999932
0.15,1,0.8625,0.0,0.8193749999999947
0.15,2,0.8,0.48125,0.5289999999999973
0.15,3,0.8825,0.2776203966005666,0.6913749999999962
0.15,4,0.885,0.1327683615819209,0.7702499999999958
0.15,5,0.89,0.05337078651685393,0.816999999999995
0.15,6,0.89,0.025280898876404494,0.8319999999999946
0.15,7,0.91,0.07142857142857142,0.825499999999995
0.15,8,0.905,0.06629834254143646,0.8237499999999949
0.15,9,0.9075,0.049586776859504134,0.8351249999999945
0.15,10,0.945,0.05555555555555555,0.8662499999999943
0.15,11,0.9525,0.028871391076115485,0.8883749999999938
0.15,12,0.9625,0.007792207792207792,0.9098749999999936
0.15,13,0.955,0.007853403141361256,0.9027499999999938
0.15,14,0.9525,0.013123359580052493,0.8973749999999937
0.15,15,0.965,0.018134715025906734,0.9062499999999938
0.15,16,0.94,0.005319148936170213,0.8899999999999939
0.15,17,0.945,0.018518518518518517,0.8872499999999939
0.15,18,0.9575,0.0026109660574412533,0.9081249999999936
0.15,19,0.96,0.0078125,0.9074999999999938
0.15,20,0.97,0.005154639175257732,0.9184999999999935
0.15,21,0.955,0.002617801047120419,0.9057499999999936
0.15,22,0.9525,0.0,0.9048749999999938
0.15,23,0.955,0.0,0.9072499999999937
0.15,24,0.97,0.0,0.9214999999999935
0.15,25,0.97,0.005154639175257732,0.9184999999999935
0.15,26,0.9725,0.005141388174807198,0.9208749999999936
0.15,27,0.985,0.0,0.9357499999999933
0.15,28,0.985,0.0,0.9357499999999933
0.15,29,0.9825,0.002544529262086514,0.9318749999999935
0.15,30,0.985,0.0,0.9357499999999933
0.15,31,0.98,0.0,0.9309999999999934
0.15,32,0.98,0.0,0.9309999999999934
0.15,33,0.9925,0.0025188916876574307,0.9413749999999932
0.15,34,0.9925,0.0,0.9428749999999932
0.15,35,0.9875,0.0,0.9381249999999933
0.15,36,0.9875,0.0,0.9381249999999933
0.15,37,0.99,0.0,0.9404999999999933
0.15,38,0.9925,0.0,0.9428749999999932
0.15,39,0.9825,0.002544529262086514,0.9318749999999933
0.15,40,0.9875,0.0,0.9381249999999933
0.15,41,0.9975,0.0,0.9476249999999932
0.15,42,0.99,0.0,0.9404999999999933
0.15,43,0.995,0.0,0.9452499999999933
0.15,44,0.9925,0.0,0.9428749999999932
0.15,45,0.995,0.0,0.9452499999999933
0.15,46,1.0,0.0,0.9499999999999932
0.15,47,0.9975,0.0,0.9476249999999932
0.15,48,0.995,0.0,0.9452499999999933
0.15,49,0.9975,0.0,0.9476249999999932
0.15,50,0.9975,0.0,0.9476249999999932
0.15,51,1.0,0.0,0.9499999999999932
0.15,52,1.0,0.0,0.9499999999999932
0.15,53,0.9875,0.0,0.9381249999999933
0.15,54,0.99,0.0,0.9404999999999933
0.15,55,0.9925,0.0,0.9428749999999932
0.15,56,0.995,0.0,0.9452499999999933
0.15,57,0.995,0.0,0.9452499999999933
0.15,58,1.0,0.0,0.9499999999999932
0.15,59,0.995,0.0,0.9452499999999933
0.15,60,0.995,0.0,0.9452499999999933
0.15,61,0.995,0.0,0.9452499999999933
0.15,62,1.0,0.0,0.9499999999999932
0.15,63,0.9975,0.0,0.9476249999999932
0.15,64,1.0,0.0,0.9499999999999932
0.15,65,0.995,0.0,0.9452499999999933
0.15,66,0.9975,0.0,0.9476249999999932
0.15,67,1.0,0.0,0.9499999999999932
0.15,68,0.9975,0.0,0.9476249999999932
0.15,69,0.995,0.0,0.9452499999999933
0.15,70,0.9975,0.0,0.9476249999999932
0.15,71,0.995,0.0,0.9452499999999933
0.15,72,0.995,0.0,0.9452499999999933
0.15,73,0.9975,0.0,0.9476249999999932
0.15,74,1.0,0.0,0.9499999999999932
0.15,75,0.9975,0.0,0.9476249999999932
0.15,76,1.0,0.0,0.9499999999999932
0.15,77,1.0,0.0,0.9499999999999932
0.15,78,1.0,0.0,0.9499999999999932
0.15,79,0.9975,0.0,0.9476249999999932
0.15,80,1.0,0.0,0.9499999999999932
0.15,81,1.0,0.0,0.9499999999999932
0.15,82,1.0,0.0,0.9499999999999932
0.15,83,1.0,0.0,0.9499999999999932
0.15,84,1.0,0.0,0.9499999999999932
0.15,85,1.0,0.0,0.9499999999999932
0.15,86,0.9975,0.0,0.9476249999999932
0.15,87,1.0,0.0,0.9499999999999932
0.15,88,1.0,0.0,0.9499999999999932
0.15,89,0.9975,0.0,0.9476249999999932
0.15,90,0.9975,0.0,0.9476249999999932
0.15,91,0.9975,0.0,0.9476249999999932
0.15,92,1.0,0.0,0.9499999999999932
0.15,93,1.0,0.0,0.9499999999999932
0.15,94,1.0,0.0,0.9499999999999932
0.15,95,1.0,0.0,0.9499999999999932
0.15,96,1.0,0.0,0.9499999999999932
0.15,97,0.9975,0.0,0.9476249999999932
0.15,98,1.0,0.0,0.9499999999999932
0.15,99,1.0,0.0,0.9499999999999932
0.15,100,1.0,0.0,0.9499999999999932
0.15,101,1.0,0.0,0.9499999999999932
0.15,102,1.0,0.0,0.9499999999999932
0.15,103,1.0,0.0,0.9499999999999932
0.15,104,1.0,0.0,0.9499999999999932
0.15,105,1.0,0.0,0.9499999999999932
0.15,106,1.0,0.0,0.9499999999999932
0.15,107,1.0,0.0,0.9499999999999932
0.15,108,1.0,0.0,0.9499999999999932
0.15,109,1.0,0.0,0.9499999999999932
0.15,110,1.0,0.0,0.9499999999999932
0.15,111,1.0,0.0,0.9499999999999932
0.15,112,1.0,0.0,0.9499999999999932
0.15,113,1.0,0.0,0.9499999999999932
0.15,114,1.0,0.0,0.9499999999999932
0.15,115,1.0,0.0,0.9499999999999932
0.15,116,1.0,0.0,0.9499999999999932
0.15,117,1.0,0.0,0.9499999999999932
0.15,118,1.0,0.0,0.9499999999999932
0.15,119,1.0,0.0,0.9499999999999932
0.15,120,1.0,0.0,0.9499999999999932
0.15,121,1.0,0.0,0.9499999999999932
0.15,122,1.0,0.0,0.9499999999999932
0.15,123,1.0,0.0,0.9499999999999932
0.15,124,1.0,0.0,0.9499999999999932
0.15,125,1.0,0.0,0.9499999999999932
0.15,126,1.0,0.0,0.9499999999999932
0.15,127,1.0,0.0,0.9499999999999932
0.15,128,1.0,0.0,0.9499999999999932
0.15,129,1.0,0.0,0.9499999999999932
0.15,130,1.0,0.0,0.9499999999999932
0.15,131,1.0,0.0,0.9499999999999932
0.15,132,1.0,0.0,0.9499999999999932
0.15,133,1.0,0.0,0.9499999999999932
0.15,134,1.0,0.0,0.9499999999999932
0.15,135,1.0,0.0,0.9499999999999932
0.15,136,1.0,0.0,0.9499999999999932
0.15,137,1.0,0.0,0.9499999999999932
0.15,138,1.0,0.0,0.9499999999999932
0.15,139,1.0,0.0,0.9499999999999932
0.15,140,1.0,0.0,0.9499999999999932
0.15,141,1.0,0.0,0.9499999999999932
0.15,142,1.0,0.0,0.9499999999999932
0.15,143,1.0,0.0,0.9499999999999932
0.15,144,1.0,0.0,0.9499999999999932
0.15,145,1.0,0.0,0.9499999999999932
0.15,146,1.0,0.0,0.9499999999999932
0.15,147,1.0,0.0,0.9499999999999932
0.15,148,1.0,0.0,0.9499999999999932
0.15,149,1.0,0.0,0.9499999999999932
0.15,150,1.0,0.0,0.9499999999999932
0.15,151,1.0,0.0,0.9499999999999932
0.15,152,1.0,0.0,0.9499999999999932
0.15,153,1.0,0.0,0.9499999999999932
0.15,154,1.0,0.0,0.9499999999999932
0.15,155,1.0,0.0,0.9499999999999932
0.15,156,1.0,0.0,0.9499999999999932
0.15,157,1.0,0.0,0.9499999999999932
0.15,158,1.0,0.0,0.9499999999999932
0.15,159,1.0,0.0,0.9499999999999932
0.15,160,1.0,0.0,0.9499999999999932
0.15,161,1.0,0.0,0.9499999999999932
0.15,162,1.0,0.0,0.9499999999999932
0.15,163,1.0,0.0,0.9499999999999932
0.15,164,1.0,0.0,0.9499999999999932
0.15,165,1.0,0.0,0.9499999999999932
0.15,166,1.0,0.0,0.9499999999999932
0.15,167,1.0,0.0,0.9499999999999932
0.15,168,1.0,0.0,0.9499999999999932
0.15,169,1.0,0.0,0.9499999999999932
0.15,170,1.0,0.0,0.9499999999999932
0.15,171,1.0,0.0,0.9499999999999932
0.15,172,1.0,0.0,0.9499999999999932
0.15,173,1.0,0.0,0.9499999999999932
0.15,174,1.0,0.0,0.9499999999999932
0.15,175,1.0,0.0,0.9499999999999932
0.15,176,1.0,0.0,0.9499999999999932
0.15,177,1.0,0.0,0.9499999999999932
0.15,178,1.0,0.0,0.9499999999999932
0.15,179,1.0,0.0,0.9499999999999932
0.15,180,1.0,0.0,0.9499999999999932
0.15,181,1.0,0.0,0.9499999999999932
0.15,182,1.0,0.0,0.9499999999999932
0.15,183,1.0,0.0,0.9499999999999932
0.15,184,1.0,0.0,0.9499999999999932
