p0,iteration,residual
0.1,1,0.95
0.1,25,0.27738957312183743
0.1,50,0.07694497527672084
0.1,75,0.02134373384588173
0.1,100,0.005920529220340143
0.1,125,0.0016422930730932706
0.1,150,0.0004555549744935661
0.1,175,0.00012636619991468478
0.1,200,3.5052666259360876e-05
0.1,225,9.723244136949916e-06
0.1,250,2.6971265469910577e-06
0.1,275,7.481547896759366e-07
0.1,300,2.0753034846165974e-07
0.1,325,5.756676202395283e-08
0.1,350,1.5968428357382436e-08
0.1,375,4.4294878875916766e-09
0.1,400,1.2287024730994744e-09
0.1,405,9.507488130111597e-10
0.15,1,0.95
0.15,25,0.27738957312183743
0.15,50,0.07694497527672084
0.15,75,0.021343733845885282
0.15,100,0.005920529220340143
0.15,125,0.0016422930730932706
0.15,150,0.0004555549744935661
0.15,175,0.00012636619991468478
0.15,200,3.5052666259360876e-05
0.15,225,9.723244136949916e-06
0.15,250,2.6971265469910577e-06
0.15,275,7.481547896759366e-07
0.15,300,2.0753034846165974e-07
0.15,325,5.756676202395283e-08
0.15,350,1.5968428357382436e-08
0.15,375,4.429484334877998e-09
0.15,400,1.2286989203857956e-09
0.15,405,9.507488130111597e-10
0.2,1,0.95
0.2,25,0.27738957312183565
0.2,50,0.07694497527672084
0.2,75,0.021343733845885282
0.2,100,0.0059205292203436954
0.2,125,0.0016422930730897178
0.2,150,0.0004555549744935661
0.2,175,0.00012636619991468478
0.2,200,3.5052666259360876e-05
0.2,225,9.72324414050263e-06
0.2,250,2.6971265505437714e-06
0.2,275,7.481547896759366e-07
0.2,300,2.0753034846165974e-07
0.2,325,5.756676202395283e-08
0.2,350,1.5968428357382436e-08
0.2,375,4.429484334877998e-09
0.2,400,1.2286989203857956e-09
0.2,405,9.507488130111597e-10
0.25,1,0.95
0.25,25,0.27738957312183565
0.25,50,0.07694497527672084
0.25,75,0.021343733845885282
0.25,100,0.005920529220340143
0.25,125,0.0016422930730932706
0.25,150,0.0004555549744935661
0.25,175,0.00012636619991468478
0.25,200,3.5052666259360876e-05
0.25,225,9.723244136949916e-06
0.25,250,2.6971265505437714e-06
0.25,275,7.481547896759366e-07
0.25,300,2.0753034846165974e-07
0.25,325,5.756676202395283e-08
0.25,350,1.5968428357382436e-08
0.25,375,4.429484334877998e-09
0.25,400,1.2286989203857956e-09
0.25,405,9.507488130111597e-10
0.3,1,0.95
0.3,25,0.27738957312183565
0.3,50,0.07694497527672084
0.3,75,0.021343733845885282
0.3,100,0.005920529220340143
0.3,125,0.0016422930730897178
0.3,150,0.0004555549744935661
0.3,175,0.00012636619991468478
0.3,200,3.5052666259360876e-05
0.3,225,9.723244136949916e-06
0.3,250,2.6971265469910577e-06
0.3,275,7.481547896759366e-07
0.3,300,2.0753034490894606e-07
0.3,325,5.756676202395283e-08
0.3,350,1.5968428357382436e-08
0.3,375,4.429484334877998e-09
0.3,400,1.2287060258131532e-09
0.3,405,9.507488130111597e-10
0.35,1,0.95
0.35,25,0.27738957312183565
0.35,50,0.07694497527672084
0.35,75,0.021343733845885282
0.35,100,0.005920529220340143
0.35,125,0.0016422930730897178
0.35,150,0.00045555497449001336
0.35,175,0.00012636619991113207
0.35,200,3.5052666259360876e-05
0.35,225,9.723244136949916e-06
0.35,250,2.6971265469910577e-06
0.35,275,7.481547896759366e-07
0.35,300,2.0753034490894606e-07
0.35,325,5.756676202395283e-08
0.35,350,1.5968428357382436e-08
0.35,375,4.429480782164319e-09
0.35,400,1.2287024730994744e-09
0.35,405,9.507488130111597e-10
0.4,1,0.95
0.4,25,0.27738957312183565
0.4,50,0.07694497527672084
0.4,75,0.021343733845885282
0.4,100,0.005920529220340143
0.4,125,0.0016422930730897178
0.4,150,0.00045555497449001336
0.4,175,0.00012636619991468478
0.4,200,3.5052666259360876e-05
0.4,225,9.723244136949916e-06
0.4,250,2.6971265469910577e-06
0.4,275,7.481547896759366e-07
0.4,300,2.0753034490894606e-07
0.4,325,5.7566758471239154e-08
0.4,350,1.5968428357382436e-08
0.4,375,4.429484334877998e-09
0.4,400,1.2286989203857956e-09
0.4,405,9.507452602974809e-10
0.45,1,0.95
0.45,25,0.27738957312183743
0.45,50,0.07694497527672084
0.45,75,0.02134373384588173
0.45,100,0.005920529220340143
0.45,125,0.0016422930730932706
0.45,150,0.00045555497449001336
0.45,175,0.00012636619991468478
0.45,200,3.5052666259360876e-05
0.45,225,9.723244133397202e-06
0.45,250,2.6971265469910577e-06
0.45,275,7.48154786123223e-07
0.45,300,2.0753034490894606e-07
0.45,325,5.7566758471239154e-08
0.45,350,1.5968428357382436e-08
0.45,375,4.429480782164319e-09
0.45,400,1.2286989203857956e-09
0.45,405,9.507488130111597e-10
0.5,1,0.95
0.5,25,0.27738957312183565
0.5,50,0.07694497527671729
0.5,75,0.02134373384588173
0.5,100,0.005920529220340143
0.5,125,0.0016422930730897178
0.5,150,0.00045555497449001336
0.5,175,0.00012636619991468478
0.5,200,3.5052666259360876e-05
0.5,225,9.723244136949916e-06
0.5,250,2.6971265469910577e-06
0.5,275,7.48154786123223e-07
0.5,300,2.0753034490894606e-07
0.5,325,5.7566758471239154e-08
0.5,350,1.5968424804668757e-08
0.5,375,4.429480782164319e-09
0.5,400,1.2286989203857956e-09
0.5,405,9.507488130111597e-10
0.55,1,0.95
0.55,25,0.27738957312183565
0.55,50,0.07694497527672084
0.55,75,0.02134373384588173
0.55,100,0.005920529220340143
0.55,125,0.0016422930730897178
0.55,150,0.00045555497449001336
0.55,175,0.00012636619991468478
0.55,200,3.505266625580816e-05
0.55,225,9.723244133397202e-06
0.55,250,2.6971265469910577e-06
0.55,275,7.48154786123223e-07
0.55,300,2.0753034135623238e-07
0.55,325,5.756676202395283e-08
0.55,350,1.5968428357382436e-08
0.55,375,4.429480782164319e-09
0.55,400,1.2286989203857956e-09
0.55,405,9.507488130111597e-10
0.6,1,0.95
0.6,25,0.27738957312183565
0.6,50,0.07694497527671729
0.6,75,0.021343733845885282
0.6,100,0.00592052922033659
0.6,125,0.0016422930730897178
0.6,150,0.00045555497449001336
0.6,175,0.00012636619991113207
0.6,200,3.505266625580816e-05
0.6,225,9.72324414050263e-06
0.6,250,2.6971265469910577e-06
0.6,275,7.48154786123223e-07
0.6,300,2.0753034135623238e-07
0.6,325,5.7566758471239154e-08
0.6,350,1.5968428357382436e-08
0.6,375,4.429480782164319e-09
0.6,400,1.2286953676721168e-09
0.6,405,9.507488130111597e-10
0.65,1,0.95
0.65,25,0.2773895731218339
0.65,50,0.07694497527671373
0.65,75,0.02134373384588173
0.65,100,0.005920529220340143
0.65,125,0.0016422930730861651
0.65,150,0.00045555497449001336
0.65,175,0.00012636619990757936
0.65,200,3.505266625580816e-05
0.65,225,9.723244133397202e-06
0.65,250,2.6971265469910577e-06
0.65,275,7.48154786123223e-07
0.65,300,2.0753034135623238e-07
0.65,325,5.7566754918525476e-08
0.65,350,1.5968424804668757e-08
0.65,375,4.429484334877998e-09
0.65,400,1.2286989203857956e-09
0.65,405,9.50741707583802e-10
0.7,1,0.95
0.7,25,0.2773895731218339
0.7,50,0.07694497527671373
0.7,75,0.021343733845878177
0.7,100,0.005920529220333037
0.7,125,0.0016422930730826124
0.7,150,0.00045555497448290794
0.7,175,0.00012636619990757936
0.7,200,3.505266625225545e-05
0.7,225,9.723244129844488e-06
0.7,250,2.6971265398856303e-06
0.7,275,7.481547825705093e-07
0.7,300,2.075303378035187e-07
0.7,325,5.7566754918525476e-08
0.7,350,1.5968421251955078e-08
0.7,375,4.429480782164319e-09
0.7,400,1.2286953676721168e-09
0.7,405,9.50741707583802e-10
0.75,1,0.9499999999999885
0.75,25,0.2773895731217504
0.75,50,0.07694497527666755
0.75,75,0.02134373384585686
0.75,100,0.005920529220325932
0.75,125,0.0016422930730826124
0.75,150,0.00045555497448290794
0.75,175,0.00012636619990402664
0.75,200,3.5052666248702735e-05
0.75,225,9.723244126291775e-06
0.75,250,2.6971265363329167e-06
0.75,275,7.481547790177956e-07
0.75,300,2.075303378035187e-07
0.75,325,5.75667513658118e-08
0.75,350,1.59684176992414e-08
0.75,375,4.42947722945064e-09
0.75,400,1.2286953676721168e-09
0.75,405,9.507381548701233e-10
